percent,gbm,lda,rf,rpart
60,97.83,87.1,95.8,83.77
61,97.62,88.97,96.87,85.39
62,97.4,89.6,96.48,84.1
63,98.12,88.87,96.24,81.97
64,96.61,89.19,95.65,87.9
65,96.52,88.23,96.35,83.75
66,97.27,89.42,96.59,88.74
67,97.54,87.85,97.01,84.51
68,97.64,87.48,97.46,85.3
69,96.26,88.41,96.07,84.86
70,98.26,87.81,97.1,84.72
71,96.99,88.78,96.19,82.97
72,97.1,89,97.51,85.27
73,98.06,91.81,96.77,84.48
74,97.98,90.36,96.64,85.65
75,98.38,87.01,96.29,84.92
76,98.79,90.07,97.58,87.17
77,97.72,91.9,97.22,86.33
78,98.15,92.08,98.15,89.97
79,96.4,89.47,95.01,85.04
80,98.55,90.7,97.97,86.34
81,97.55,90.18,97.55,83.74
82,96.76,89.64,95.79,85.44
83,98.29,90.41,97.26,85.62
84,98.18,89.82,98.18,85.09
85,97.67,90.66,96.89,87.16
86,97.92,90.42,97.08,85.42
87,97.3,90.54,95.95,85.14
88,97.57,90.78,98.54,85.44
89,97.88,90.48,97.88,86.24
90,97.66,91.23,96.49,87.72
